x,alpha0.1,alpha0.5,alpha1.0,alpha2.0,alpha5.0,alpha10.0
-2.0,-1.9803279976447254,-1.6480542736638855,-1.2658022288340798,-1.0366189934736865,-1.0000907998593378,-1.0000000041223074
-1.99,-1.9706836540445312,-1.6434929176134752,-1.2648655600509426,-1.0365906102159326,-1.0000907994257517,-1.0000000041223074
-1.98,-1.9610355211314239,-1.6388967869253923,-1.2639106702221072,-1.0365610694405392,-1.0000907989465648,-1.0000000041223074
-1.97,-1.951383615979313,-1.6342657148498327,-1.2629372190525974,-1.0365303239769958,-1.0000907984169813,-1.0000000041223074
-1.96,-1.941727955690557,-1.6295995356126547,-1.2619448604585093,-1.0364983247354427,-1.0000907978317013,-1.0000000041223074
-1.95,-1.9320685573958496,-1.6248980844541068,-1.2609332424914543,-1.0364650206288148,-1.0000907971848665,-1.0000000041223074
-1.94,-1.9224054382541111,-1.6201611976679993,-1.2599020072629878,-1.0364303584918504,-1.0000907964700039,-1.0000000041223074
-1.93,-1.9127386154523704,-1.6153887126413307,-1.2588507908690847,-1.0363942829968362,-1.0000907956799583,-1.0000000041223074
-1.92,-1.9030681062056558,-1.6105804678943583,-1.2577792233147091,-1.0363567365659585,-1.000090794806823,-1.0000000041223074
-1.91,-1.8933939277568776,-1.6057363031211185,-1.2566869284385405,-1.0363176592801309,-1.000090793841859,-1.0000000041223074
-1.9,-1.8837160973767173,-1.6008560592303784,-1.2555735238379109,-1.0362769887841523,-1.000090792775409,-1.0000000041223072
-1.89,-1.8740346323635098,-1.5959395783870314,-1.2544386207940201,-1.036234660188056,-1.0000907915967996,-1.0000000041223072
-1.88,-1.8643495500431315,-1.5909867040539183,-1.2532818241974943,-1.0361906059644939,-1.0000907902942346,-1.0000000041223072
-1.8699999999999999,-1.8546608677688798,-1.5859972810340828,-1.252102732474353,-1.0361447558420043,-1.0000907888546777,-1.0000000041223072
-1.8599999999999999,-1.8449686029213632,-1.58097115551344,-1.250900937512461,-1.0360970366939966,-1.0000907872637215,-1.0000000041223072
-1.8499999999999999,-1.8352727729083793,-1.575908175103873,-1.2496760245885359,-1.0360473724232884,-1.0000907855054426,-1.0000000041223072
-1.8399999999999999,-1.825573395164803,-1.570808188886731,-1.2484275722957956,-1.0359956838420157,-1.0000907835622441,-1.0000000041223072
-1.8299999999999998,-1.815870487152464,-1.565671047456743,-1.2471551524723208,-1.0359418885467406,-1.0000907814146776,-1.0000000041223072
-1.8199999999999998,-1.8061640663600327,-1.5604966029663243,-1.2458583301302213,-1.0358859007885604,-1.0000907790412497,-1.000000004122307
-1.8099999999999998,-1.7964541503029008,-1.5552847091702817,-1.2445366633856976,-1.0358276313380308,-1.000090776418206,-1.000000004122307
-1.7999999999999998,-1.7867407565230633,-1.5500352214709054,-1.2431897033900836,-1.0357669873446962,-1.0000907735192945,-1.000000004122307
-1.7899999999999998,-1.777023902588999,-1.5447479969634383,-1.2418169942619752,-1.035703872191016,-1.0000907703155018,-1.0000000041223067
-1.7799999999999998,-1.7673036060955498,-1.5394228944819235,-1.240418073020539,-1.0356381853404741,-1.0000907667747632,-1.0000000041223067
-1.7699999999999998,-1.757579884663804,-1.534059774645413,-1.2389924695201073,-1.0355698221796399,-1.000090762861642,-1.0000000041223065
-1.7599999999999998,-1.7478527559409731,-1.5286584999045365,-1.2375397063861697,-1.0354986738539504,-1.0000907585369743,-1.0000000041223063
-1.7499999999999998,-1.7381222376002723,-1.5232189345884193,-1.2360592989528725,-1.0354246270969716,-1.0000907537574775,-1.000000004122306
-1.7399999999999998,-1.7283883473407993,-1.517740944951942,-1.2345507552021422,-1.0353475640528829,-1.0000907484753163,-1.0000000041223058
-1.7299999999999998,-1.718651102887413,-1.5122243992233315,-1.2330135757045568,-1.0352673620919304,-1.0000907426376255,-1.0000000041223054
-1.7199999999999998,-1.7089105219906113,-1.506669167652074,-1.2314472535620906,-1.0351838936185753,-1.0000907361859797,-1.000000004122305
-1.7099999999999997,-1.6991666224264093,-1.5010751225571433,-1.2298512743528587,-1.0350970258720589,-1.000090729055808,-1.0000000041223045
-1.6999999999999997,-1.6894194219962146,-1.495442138375531,-1.2282251160780042,-1.0350066207190964,-1.00009072117575,-1.0000000041223038
-1.6899999999999997,-1.6796689385267074,-1.489770091711073,-1.2265682491108623,-1.0349125344383996,-1.0000907124669391,-1.0000000041223032
-1.6799999999999997,-1.6699151898697142,-1.4840588613835533,-1.2248801361485468,-1.0348146174967168,-1.0000907028422144,-1.0000000041223023
-1.6699999999999997,-1.6601581939020853,-1.4783083284780825,-1.223160232166113,-1.0347127143160755,-1.0000906922052488,-1.0000000041223012
