x y v
0 -3.5 0.0369
5 -3.5 0.0951
10 -3.5 0.1112
15 -3.5 0.2075
20 -3.5 0.2371
25 -3.5 0.3824
30 -3.5 0.3593
35 -3.5 0.3933
40 -3.5 0.5369
45 -3.5 0.4927

0 -3.0 0.0000
5 -3.0 0.1830
10 -3.0 0.1886
15 -3.0 0.2542
20 -3.0 0.3377
25 -3.0 0.3154
30 -3.0 0.3913
35 -3.0 0.4831
40 -3.0 0.4947
45 -3.0 0.5160

0 -2.5 0.0248
5 -2.5 0.2939
10 -2.5 0.2088
15 -2.5 0.3355
20 -2.5 0.3887
25 -2.5 0.2697
30 -2.5 0.3912
35 -2.5 0.6119
40 -2.5 0.5713
45 -2.5 0.6013

0 -2.0 0.1299
5 -2.0 0.1781
10 -2.0 0.2998
15 -2.0 0.2888
20 -2.0 0.4740
25 -2.0 0.4597
30 -2.0 0.4598
35 -2.0 0.5956
40 -2.0 0.6036
45 -2.0 0.7611

0 -1.5 0.2308
5 -1.5 0.2762
10 -1.5 0.3493
15 -1.5 0.4568
20 -1.5 0.5082
25 -1.5 0.5318
30 -1.5 0.5693
35 -1.5 0.6887
40 -1.5 0.6091
45 -1.5 0.7883

0 -1.0 0.3612
5 -1.0 0.3286
10 -1.0 0.4461
15 -1.0 0.4273
20 -1.0 0.5262
25 -1.0 0.5611
30 -1.0 0.5616
35 -1.0 0.5657
40 -1.0 0.7011
45 -1.0 0.8666

0 -0.5 0.3350
5 -0.5 0.2907
10 -0.5 0.4725
15 -0.5 0.5667
20 -0.5 0.5935
25 -0.5 0.5748
30 -0.5 0.6177
35 -0.5 0.7615
40 -0.5 0.7520
45 -0.5 0.8820

0 0.0 0.4482
5 0.0 0.4471
10 0.0 0.4602
15 0.0 0.5135
20 0.0 0.5916
25 0.0 0.6671
30 0.0 0.6524
35 0.0 0.7326
40 0.0 0.7874
45 0.0 0.8660

0 0.5 0.3964
5 0.5 0.5106
10 0.5 0.5005
15 0.5 0.6412
20 0.5 0.5581
25 0.5 0.7061
30 0.5 0.6581
35 0.5 0.8981
40 0.5 0.8208
45 0.5 0.9215

0 1.0 0.4921
5 1.0 0.5949
10 1.0 0.6806
15 1.0 0.6931
20 1.0 0.6477
25 1.0 0.6940
30 1.0 0.7443
35 1.0 0.9077
40 1.0 0.9460
45 1.0 1.0000

